SFC长度	时间（ms）				成功率			阻塞率		第一次阻塞			总资源			节点资源			链路资源			开机能耗		开机时延		关机能耗		关机时延
3		5.857143		    1.0000		    0.0000		   -1		   31.2857		   16.0000		   15.2857		   8.00000       8.000      0.00000       0.000
4		2.428571		    1.0000		    0.0000		   -1		   39.1429		   22.1429		   17.0000		   0.00000       0.000      0.00000       0.000
5		2.285714		    1.0000		    0.0000		   -1		   51.1429		   28.2857		   22.8571		   3.00000       3.000      0.00000       0.000
6		2.000000		    1.0000		    0.0000		   -1		   53.1429		   29.5714		   23.5714		   4.00000       4.000      0.00000       0.000
7		2.857143		    1.0000		    0.0000		   -1		   66.2857		   42.2857		   24.0000		   5.00000       5.000      0.00000       0.000
8		1.750000		    0.5714		    0.4286		    3		   71.5000		   45.0000		   26.5000		   2.00000       2.000      0.00000       0.000
9		   NaN		    0.0000		    1.0000		    0		       NaN		       NaN		       NaN		   0.00000       0.000      0.00000       0.000
SFC长度	时间（ms）				成功率			阻塞率		第一次阻塞			总资源			节点资源			链路资源			工作能耗			开机能耗		开机时延		关机能耗		关机时延
3		3.857143		    1.0000		    0.0000		   -1		   31.2857		   16.0000		   15.2857		   0.00000		   8.00000       8.000      0.00000       0.000
4		2.285714		    1.0000		    0.0000		   -1		   39.1429		   22.1429		   17.0000		   0.00000		   0.00000       0.000      0.00000       0.000
5		0.571429		    1.0000		    0.0000		   -1		   51.1429		   28.2857		   22.8571		   0.00000		   3.00000       3.000      0.00000       0.000
6		1.428571		    1.0000		    0.0000		   -1		   53.1429		   29.5714		   23.5714		   0.00000		   4.00000       4.000      0.00000       0.000
7		1.428571		    1.0000		    0.0000		   -1		   66.2857		   42.2857		   24.0000		   0.00000		   5.00000       5.000      0.00000       0.000
8		5.000000		    0.5714		    0.4286		    3		   71.5000		   45.0000		   26.5000		   0.00000		   2.00000       2.000      0.00000       0.000
9		   NaN		    0.0000		    1.0000		    0		       NaN		       NaN		       NaN		   0.00000		   0.00000       0.000      0.00000       0.000
SFC长度	时间（ms）				成功率			阻塞率		第一次阻塞			总资源			节点资源			链路资源			工作能耗			开机能耗		开机时延		关机能耗		关机时延
3		5.000000		    1.0000		    0.0000		   -1		   31.2857		   16.0000		   15.2857		   3.00000		   8.00000       8.000      0.00000       0.000
4		2.714286		    1.0000		    0.0000		   -1		   39.1429		   22.1429		   17.0000		  15.00000		   0.00000       0.000      0.00000       0.000
5		2.571429		    1.0000		    0.0000		   -1		   51.1429		   28.2857		   22.8571		  30.00000		   3.00000       3.000      0.00000       0.000
6		2.428571		    1.0000		    0.0000		   -1		   53.1429		   29.5714		   23.5714		  48.00000		   4.00000       4.000      0.00000       0.000
7		4.000000		    1.0000		    0.0000		   -1		   66.2857		   42.2857		   24.0000		  55.00000		   5.00000       5.000      0.00000       0.000
8		2.000000		    0.5714		    0.4286		    3		   71.5000		   45.0000		   26.5000		  63.00000		   2.00000       2.000      0.00000       0.000
9		   NaN		    0.0000		    1.0000		    0		       NaN		       NaN		       NaN		  63.00000		   0.00000       0.000      0.00000       0.000
7		3.857143		    1.0000		    0.0000		   -1		   70.5714		   42.2857		   28.2857		 108.00000		   0.00000		   1.00000       1.000      1.00000       1.000
8		2.285714		    1.0000		    0.0000		   -1		   74.7143		   44.2857		   30.4286		 122.00000		   0.00000		   1.00000       1.000      1.00000       1.000
9		3.142857		    1.0000		    0.0000		   -1		   84.4286		   48.4286		   36.0000		 158.00000		   0.00000		   1.00000       1.000      0.00000       0.000
SFC长度	时间（ms）				成功率			阻塞率		第一次阻塞			总资源			节点资源			链路资源			工作能耗			空载能耗			开机能耗		开机时延		关机能耗		关机时延
3		8.285714		    1.0000		    0.0000		   -1		   30.1429		   15.4286		   14.7143		  12.00000		   0.00000		   9.00000       9.000      0.00000       0.000
4		2.428571		    1.0000		    0.0000		   -1		   43.5714		   23.7143		   19.8571		  28.00000		   0.00000		   1.00000       1.000      0.00000       0.000
5		2.285714		    1.0000		    0.0000		   -1		   48.7143		   25.2857		   23.4286		  68.00000		   0.00000		   0.00000       0.000      0.00000       0.000
6		2.142857		    1.0000		    0.0000		   -1		   59.4286		   33.0000		   26.4286		  98.00000		   0.00000		   0.00000       0.000      3.00000       3.000
7		1.857143		    1.0000		    0.0000		   -1		   68.7143		   39.1429		   29.5714		 134.00000		   0.00000		   1.00000       1.000      3.00000       3.000
8		1.857143		    1.0000		    0.0000		   -1		   79.2857		   47.5714		   31.7143		 172.00000		   0.00000		   1.00000       1.000      5.00000       5.000
9		2.428571		    1.0000		    0.0000		   -1		   85.4286		   49.5714		   35.8571		 244.00000		   0.00000		   1.00000       1.000      0.00000       0.000
SFC长度	时间（ms）				成功率			阻塞率		第一次阻塞			总资源			节点资源			链路资源			工作能耗			空载能耗			开机能耗		开机时延		关机能耗		关机时延
3		6.000000		    1.0000		    0.0000		   -1		   30.1429		   15.4286		   14.7143		  12.00000		   0.00000		   9.00000       9.000      0.00000       0.000
4		4.714286		    1.0000		    0.0000		   -1		   43.5714		   23.7143		   19.8571		  28.00000		   0.00000		   1.00000       1.000      0.00000       0.000
5		11.000000		    1.0000		    0.0000		   -1		   48.7143		   25.2857		   23.4286		  68.00000		   0.00000		   0.00000       0.000      0.00000       0.000
6		3.571429		    1.0000		    0.0000		   -1		   59.4286		   33.0000		   26.4286		  98.00000		   0.00000		   0.00000       0.000      3.00000       3.000
7		2.857143		    1.0000		    0.0000		   -1		   68.7143		   39.1429		   29.5714		 134.00000		   0.00000		   1.00000       1.000      3.00000       3.000
8		2.285714		    1.0000		    0.0000		   -1		   79.2857		   47.5714		   31.7143		 172.00000		   0.00000		   1.00000       1.000      5.00000       5.000
9		5.857143		    1.0000		    0.0000		   -1		   85.4286		   49.5714		   35.8571		 244.00000		   0.00000		   1.00000       1.000      0.00000       0.000
SFC长度	时间（ms）				成功率			阻塞率		第一次阻塞			总资源			节点资源			链路资源			工作能耗			空载能耗			开机能耗		开机时延		关机能耗		关机时延
3		6.571429		    1.0000		    0.0000		   -1		   30.1429		   15.4286		   14.7143		  12.00000		   0.00000		   9.00000       9.000      0.00000       0.000
4		2.285714		    1.0000		    0.0000		   -1		   43.5714		   23.7143		   19.8571		  28.00000		   0.00000		   1.00000       1.000      0.00000       0.000
5		2.142857		    1.0000		    0.0000		   -1		   48.7143		   25.2857		   23.4286		  68.00000		   0.00000		   0.00000       0.000      0.00000       0.000
6		0.000000		    1.0000		    0.0000		   -1		   59.4286		   33.0000		   26.4286		  98.00000		   0.00000		   0.00000       0.000      3.00000       3.000
7		2.142857		    1.0000		    0.0000		   -1		   68.7143		   39.1429		   29.5714		 134.00000		   0.00000		   1.00000       1.000      3.00000       3.000
8		2.285714		    1.0000		    0.0000		   -1		   79.2857		   47.5714		   31.7143		 172.00000		   0.00000		   1.00000       1.000      5.00000       5.000
9		4.428571		    1.0000		    0.0000		   -1		   85.4286		   49.5714		   35.8571		 244.00000		   0.00000		   1.00000       1.000      0.00000       0.000
SFC长度	时间（ms）				成功率			阻塞率		第一次阻塞			总资源			节点资源			链路资源			工作能耗			空载能耗			开机能耗		开机时延		关机能耗		关机时延
3		7.714286		    1.0000		    0.0000		   -1		   30.1429		   15.4286		   14.7143		  12.00000		   0.00000		   9.00000       9.000      0.00000       0.000
4		4.000000		    1.0000		    0.0000		   -1		   43.5714		   23.7143		   19.8571		  28.00000		   0.00000		   1.00000       1.000      0.00000       0.000
5		3.000000		    1.0000		    0.0000		   -1		   48.7143		   25.2857		   23.4286		  68.00000		   0.00000		   0.00000       0.000      0.00000       0.000
6		2.285714		    1.0000		    0.0000		   -1		   59.4286		   33.0000		   26.4286		  98.00000		   0.00000		   0.00000       0.000      3.00000       3.000
7		1.714286		    1.0000		    0.0000		   -1		   68.7143		   39.1429		   29.5714		 134.00000		   0.00000		   1.00000       1.000      3.00000       3.000
8		1.857143		    1.0000		    0.0000		   -1		   79.2857		   47.5714		   31.7143		 172.00000		   0.00000		   1.00000       1.000      5.00000       5.000
9		5.714286		    1.0000		    0.0000		   -1		   85.4286		   49.5714		   35.8571		 244.00000		   0.00000		   1.00000       1.000      0.00000       0.000
SFC长度	时间（ms）				成功率			阻塞率		第一次阻塞			总资源			节点资源			链路资源			工作能耗			空载能耗			开机能耗		开机时延		关机能耗		关机时延
3		4.428571		    1.0000		    0.0000		   -1		   30.1429		   15.4286		   14.7143		   6.00000		   6.00000		   9.00000       9.000      0.00000       0.000
4		8.857143		    1.0000		    0.0000		   -1		   43.5714		   23.7143		   19.8571		  14.00000		  14.00000		   1.00000       1.000      0.00000       0.000
5		9.000000		    1.0000		    0.0000		   -1		   48.7143		   25.2857		   23.4286		  34.00000		  34.00000		   0.00000       0.000      0.00000       0.000
6		4.428571		    1.0000		    0.0000		   -1		   59.4286		   33.0000		   26.4286		  49.00000		  49.00000		   0.00000       0.000      3.00000       3.000
7		15.571429		    1.0000		    0.0000		   -1		   68.7143		   39.1429		   29.5714		  67.00000		  67.00000		   1.00000       1.000      3.00000       3.000
8		2.142857		    1.0000		    0.0000		   -1		   79.2857		   47.5714		   31.7143		  86.00000		  86.00000		   1.00000       1.000      5.00000       5.000
9		4.571429		    1.0000		    0.0000		   -1		   85.4286		   49.5714		   35.8571		 122.00000		 122.00000		   1.00000       1.000      0.00000       0.000
SFC长度	时间（ms）				成功率			阻塞率		第一次阻塞			总资源			节点资源			链路资源			工作能耗			空载能耗			开机能耗		开机时延		关机能耗		关机时延
3		5.142857		    1.0000		    0.0000		   -1		   30.1429		   15.4286		   14.7143		   6.00000		   6.00000		   9.00000       9.000      0.00000       0.000
4		5.142857		    1.0000		    0.0000		   -1		   43.5714		   23.7143		   19.8571		  14.00000		  14.00000		   1.00000       1.000      0.00000       0.000
5		5.571429		    1.0000		    0.0000		   -1		   48.7143		   25.2857		   23.4286		  34.00000		  34.00000		   0.00000       0.000      0.00000       0.000
6		7.285714		    1.0000		    0.0000		   -1		   59.4286		   33.0000		   26.4286		  49.00000		  49.00000		   0.00000       0.000      3.00000       3.000
7		8.428571		    1.0000		    0.0000		   -1		   68.7143		   39.1429		   29.5714		  67.00000		  67.00000		   1.00000       1.000      3.00000       3.000
8		3.285714		    1.0000		    0.0000		   -1		   79.2857		   47.5714		   31.7143		  86.00000		  86.00000		   1.00000       1.000      5.00000       5.000
9		10.142857		    1.0000		    0.0000		   -1		   85.4286		   49.5714		   35.8571		 122.00000		 122.00000		   1.00000       1.000      0.00000       0.000
SFC长度	时间（ms）				成功率			阻塞率		第一次阻塞			总资源			节点资源			链路资源			工作能耗			空载能耗			开机能耗		开机时延		关机能耗		关机时延
3		4.428571		    1.0000		    0.0000		   -1		   30.1429		   15.4286		   14.7143		   6.00000		   6.00000		   9.00000       9.000      0.00000       0.000
4		2.142857		    1.0000		    0.0000		   -1		   43.5714		   23.7143		   19.8571		  14.00000		  14.00000		   1.00000       1.000      0.00000       0.000
5		2.285714		    1.0000		    0.0000		   -1		   48.7143		   25.2857		   23.4286		  34.00000		  34.00000		   0.00000       0.000      0.00000       0.000
6		2.142857		    1.0000		    0.0000		   -1		   59.4286		   33.0000		   26.4286		  49.00000		  49.00000		   0.00000       0.000      3.00000       3.000
7		2.285714		    1.0000		    0.0000		   -1		   68.7143		   39.1429		   29.5714		  67.00000		  67.00000		   1.00000       1.000      3.00000       3.000
8		2.285714		    1.0000		    0.0000		   -1		   79.2857		   47.5714		   31.7143		  86.00000		  86.00000		   1.00000       1.000      5.00000       5.000
9		4.428571		    1.0000		    0.0000		   -1		   85.4286		   49.5714		   35.8571		 122.00000		 122.00000		   1.00000       1.000      0.00000       0.000
SFC长度	时间（ms）				成功率			阻塞率		第一次阻塞			总资源			节点资源			链路资源			工作能耗			空载能耗			开机能耗		开机时延		关机能耗		关机时延
3		5.142857		    1.0000		    0.0000		   -1		   30.1429		   15.4286		   14.7143		   6.00000		   6.00000		   9.00000       9.000      0.00000       0.000
4		3.142857		    1.0000		    0.0000		   -1		   43.5714		   23.7143		   19.8571		  14.00000		  14.00000		   1.00000       1.000      0.00000       0.000
5		3.000000		    1.0000		    0.0000		   -1		   48.7143		   25.2857		   23.4286		  34.00000		  34.00000		   0.00000       0.000      0.00000       0.000
6		2.285714		    1.0000		    0.0000		   -1		   59.4286		   33.0000		   26.4286		  49.00000		  49.00000		   0.00000       0.000      3.00000       3.000
7		1.714286		    1.0000		    0.0000		   -1		   68.7143		   39.1429		   29.5714		  67.00000		  67.00000		   1.00000       1.000      3.00000       3.000
8		1.714286		    1.0000		    0.0000		   -1		   79.2857		   47.5714		   31.7143		  86.00000		  86.00000		   1.00000       1.000      5.00000       5.000
9		3.142857		    1.0000		    0.0000		   -1		   85.4286		   49.5714		   35.8571		 122.00000		 122.00000		   1.00000       1.000      0.00000       0.000
SFC长度	时间（ms）				成功率			阻塞率		第一次阻塞			总资源			节点资源			链路资源			工作能耗			空载能耗			开机能耗		开机时延		关机能耗		关机时延
3		9.571429		    1.0000		    0.0000		   -1		   30.1429		   15.4286		   14.7143		   6.00000		   6.00000		   9.00000       9.000      0.00000       0.000
4		2.857143		    1.0000		    0.0000		   -1		   43.5714		   23.7143		   19.8571		  14.00000		  14.00000		   1.00000       1.000      0.00000       0.000
5		8.857143		    1.0000		    0.0000		   -1		   48.7143		   25.2857		   23.4286		  34.00000		  34.00000		   0.00000       0.000      0.00000       0.000
6		2.000000		    1.0000		    0.0000		   -1		   59.4286		   33.0000		   26.4286		  49.00000		  49.00000		   0.00000       0.000      3.00000       3.000
7		1.857143		    1.0000		    0.0000		   -1		   68.7143		   39.1429		   29.5714		  67.00000		  67.00000		   1.00000       1.000      3.00000       3.000
8		2.142857		    1.0000		    0.0000		   -1		   79.2857		   47.5714		   31.7143		  86.00000		  86.00000		   1.00000       1.000      5.00000       5.000
9		2.571429		    1.0000		    0.0000		   -1		   85.4286		   49.5714		   35.8571		 122.00000		 122.00000		   1.00000       1.000      0.00000       0.000
SFC长度	时间（ms）				成功率			阻塞率		第一次阻塞			总资源			节点资源			链路资源			工作能耗			空载能耗			开机能耗		开机时延		关机能耗		关机时延
3		7.000000		    1.0000		    0.0000		   -1		   30.1429		   15.4286		   14.7143		   6.00000		   6.00000		   9.00000       9.000      0.00000       0.000
4		3.000000		    1.0000		    0.0000		   -1		   43.5714		   23.7143		   19.8571		  14.00000		  14.00000		   1.00000       1.000      0.00000       0.000
5		2.142857		    1.0000		    0.0000		   -1		   48.7143		   25.2857		   23.4286		  34.00000		  34.00000		   0.00000       0.000      0.00000       0.000
6		1.714286		    1.0000		    0.0000		   -1		   59.4286		   33.0000		   26.4286		  49.00000		  49.00000		   0.00000       0.000      3.00000       3.000
7		1.714286		    1.0000		    0.0000		   -1		   68.7143		   39.1429		   29.5714		  67.00000		  67.00000		   1.00000       1.000      3.00000       3.000
8		2.428571		    1.0000		    0.0000		   -1		   79.2857		   47.5714		   31.7143		  86.00000		  86.00000		   1.00000       1.000      5.00000       5.000
9		3.142857		    1.0000		    0.0000		   -1		   85.4286		   49.5714		   35.8571		 122.00000		 122.00000		   1.00000       1.000      0.00000       0.000
SFC长度	时间（ms）				成功率			阻塞率		第一次阻塞			总资源			节点资源			链路资源			工作能耗			空载能耗			开机能耗		开机时延		关机能耗		关机时延
3		7.000000		    1.0000		    0.0000		   -1		   30.1429		   15.4286		   14.7143		   6.00000		   6.00000		   9.00000       9.000      0.00000       0.000
4		2.000000		    1.0000		    0.0000		   -1		   43.5714		   23.7143		   19.8571		  14.00000		  14.00000		   1.00000       1.000      0.00000       0.000
5		1.571429		    1.0000		    0.0000		   -1		   48.7143		   25.2857		   23.4286		  34.00000		  34.00000		   0.00000       0.000      0.00000       0.000
6		2.285714		    1.0000		    0.0000		   -1		   59.4286		   33.0000		   26.4286		  49.00000		  49.00000		   0.00000       0.000      3.00000       3.000
7		3.285714		    1.0000		    0.0000		   -1		   68.7143		   39.1429		   29.5714		  67.00000		  67.00000		   1.00000       1.000      3.00000       3.000
8		3.285714		    1.0000		    0.0000		   -1		   79.2857		   47.5714		   31.7143		  86.00000		  86.00000		   1.00000       1.000      5.00000       5.000
9		3.142857		    1.0000		    0.0000		   -1		   85.4286		   49.5714		   35.8571		 122.00000		 122.00000		   1.00000       1.000      0.00000       0.000
SFC长度	时间（ms）				成功率			阻塞率		第一次阻塞			总资源			节点资源			链路资源			工作能耗			空载能耗			开机能耗		开机时延		关机能耗		关机时延
3		6.142857		    1.0000		    0.0000		   -1		   30.1429		   15.4286		   14.7143		   6.00000		   6.00000		   9.00000       9.000      0.00000       0.000
4		2.714286		    1.0000		    0.0000		   -1		   43.5714		   23.7143		   19.8571		  14.00000		  14.00000		   1.00000       1.000      0.00000       0.000
5		9.428571		    1.0000		    0.0000		   -1		   48.7143		   25.2857		   23.4286		  34.00000		  34.00000		   0.00000       0.000      0.00000       0.000
6		1.714286		    1.0000		    0.0000		   -1		   59.4286		   33.0000		   26.4286		  49.00000		  49.00000		   0.00000       0.000      3.00000       3.000
7		1.857143		    1.0000		    0.0000		   -1		   68.7143		   39.1429		   29.5714		  67.00000		  67.00000		   1.00000       1.000      3.00000       3.000
8		2.000000		    1.0000		    0.0000		   -1		   79.2857		   47.5714		   31.7143		  86.00000		  86.00000		   1.00000       1.000      5.00000       5.000
9		2.857143		    1.0000		    0.0000		   -1		   85.4286		   49.5714		   35.8571		 122.00000		 122.00000		   1.00000       1.000      0.00000       0.000
SFC长度	时间（ms）				成功率			阻塞率		第一次阻塞			总资源			节点资源			链路资源			工作能耗			空载能耗			开机能耗		开机时延		关机能耗		关机时延
3		7.285714		    1.0000		    0.0000		   -1		   30.1429		   15.4286		   14.7143		   6.00000		   6.00000		   9.00000       9.000      0.00000       0.000
4		11.571429		    1.0000		    0.0000		   -1		   43.5714		   23.7143		   19.8571		  14.00000		  14.00000		   1.00000       1.000      0.00000       0.000
5		3.857143		    1.0000		    0.0000		   -1		   48.7143		   25.2857		   23.4286		  34.00000		  34.00000		   0.00000       0.000      0.00000       0.000
6		2.428571		    1.0000		    0.0000		   -1		   59.4286		   33.0000		   26.4286		  49.00000		  49.00000		   0.00000       0.000      3.00000       3.000
7		9.857143		    1.0000		    0.0000		   -1		   68.7143		   39.1429		   29.5714		  67.00000		  67.00000		   1.00000       1.000      3.00000       3.000
8		3.714286		    1.0000		    0.0000		   -1		   79.2857		   47.5714		   31.7143		  86.00000		  86.00000		   1.00000       1.000      5.00000       5.000
9		3.428571		    1.0000		    0.0000		   -1		   85.4286		   49.5714		   35.8571		 122.00000		 122.00000		   1.00000       1.000      0.00000       0.000
SFC长度	时间（ms）				成功率			阻塞率		第一次阻塞			总资源			节点资源			链路资源			工作能耗			空载能耗			开机能耗		开机时延		关机能耗		关机时延
3		6.285714		    1.0000		    0.0000		   -1		   30.1429		   15.4286		   14.7143		   6.00000		   6.00000		   9.00000       9.000      0.00000       0.000
4		2.714286		    1.0000		    0.0000		   -1		   43.5714		   23.7143		   19.8571		  14.00000		  14.00000		   1.00000       1.000      0.00000       0.000
5		3.142857		    1.0000		    0.0000		   -1		   48.7143		   25.2857		   23.4286		  34.00000		  34.00000		   0.00000       0.000      0.00000       0.000
6		2.142857		    1.0000		    0.0000		   -1		   59.4286		   33.0000		   26.4286		  49.00000		  49.00000		   0.00000       0.000      3.00000       3.000
7		1.428571		    1.0000		    0.0000		   -1		   68.7143		   39.1429		   29.5714		  67.00000		  67.00000		   1.00000       1.000      3.00000       3.000
8		2.571429		    1.0000		    0.0000		   -1		   79.2857		   47.5714		   31.7143		  86.00000		  86.00000		   1.00000       1.000      5.00000       5.000
9		2.571429		    1.0000		    0.0000		   -1		   85.4286		   49.5714		   35.8571		 122.00000		 122.00000		   1.00000       1.000      0.00000       0.000
SFC长度	时间（ms）				成功率			阻塞率		第一次阻塞			总资源			节点资源			链路资源			工作能耗			空载能耗			开机能耗		开机时延		关机能耗		关机时延
3		3.714286		    1.0000		    0.0000		   -1		   30.1429		   15.4286		   14.7143		   6.00000		   6.00000		   9.00000       9.000      1.00000       1.000
4		4.000000		    1.0000		    0.0000		   -1		   43.5714		   23.7143		   19.8571		  14.00000		  14.00000		   1.00000       1.000      0.00000       0.000
5		1.857143		    1.0000		    0.0000		   -1		   48.7143		   25.2857		   23.4286		  34.00000		  34.00000		   0.00000       0.000      0.00000       0.000
6		2.000000		    1.0000		    0.0000		   -1		   59.4286		   33.0000		   26.4286		  49.00000		  49.00000		   0.00000       0.000      3.00000       3.000
7		1.285714		    1.0000		    0.0000		   -1		   68.7143		   39.1429		   29.5714		  67.00000		  67.00000		   1.00000       1.000      3.00000       3.000
8		2.714286		    1.0000		    0.0000		   -1		   79.2857		   47.5714		   31.7143		  86.00000		  86.00000		   1.00000       1.000      5.00000       5.000
9		2.000000		    1.0000		    0.0000		   -1		   85.4286		   49.5714		   35.8571		 122.00000		 122.00000		   1.00000       1.000      0.00000       0.000
SFC长度	时间（ms）				成功率			阻塞率		第一次阻塞			总资源			节点资源			链路资源			工作能耗			空载能耗			开机能耗		开机时延		关机能耗		关机时延
3		3.857143		    1.0000		    0.0000		   -1		   30.1429		   15.4286		   14.7143		   6.00000		   0.00000		   9.00000       9.000      0.00000       0.000
4		3.000000		    1.0000		    0.0000		   -1		   43.5714		   23.7143		   19.8571		  14.00000		   0.00000		   1.00000       1.000      0.00000       0.000
5		2.142857		    1.0000		    0.0000		   -1		   48.7143		   25.2857		   23.4286		  34.00000		   0.00000		   0.00000       0.000      0.00000       0.000
6		1.857143		    1.0000		    0.0000		   -1		   59.4286		   33.0000		   26.4286		  49.00000		   0.00000		   0.00000       0.000      3.00000       3.000
